github_id,target_role,total_repos,top_languages,topics
SoftEng-Islam,Web Frontend (Lv1. 의심 / 14점),81,"{'Vue': 9, 'Nix': 6, 'TypeScript': 5}","['desktop-environment', 'hyprland', 'hardware-support', 'home-manager', 'github-config', 'configuration', 'arch-linux', 'open-source', 'modular', 'amd']"
hasanyalsiz,Web Frontend (Lv2. 강한 의심 / 46점),53,"{'JavaScript': 21, 'HTML': 15, 'CSS': 8}",[]
fuqiuluo,"Mobile App (Lv2. 강한 의심 / 25점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 14점)",38,"{'Rust': 9, 'C': 3, 'Kotlin': 3}","['llvm-pass', 'github-config', 'memory-scanner', 'dynarmic', 'game-cheating', 'linux', 'android-driver', 'mmuhack', 'android', 'llvm-clang']"
czlonkowski,Web Frontend (Lv1. 의심 / 8점),17,"{'TypeScript': 4, 'Shell': 2, 'JavaScript': 2}","['workflows', 'mcp', 'workflow-automation', 'n8n', 'ai-agents', 'mcp-server']"
coding-in-public,Web Frontend (Lv2. 강한 의심 / 40점),100,"{'Astro': 47, 'TypeScript': 16, 'CSS': 10}",[]
sahandghavidel,"Web Frontend (Lv3. 확신 / 103점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 6.5점)",54,"{'JavaScript': 35, 'TypeScript': 7, 'HTML': 6}","['github-config', 'javascript', 'tmdb-api', 'html-css-javascript', 'next-auth', 'google-search-api', 'mern-stack', 'tesla-clone', 'mernstack', 'ai']"
appinha,"Web Frontend (Lv2. 강한 의심 / 24점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 9점)",37,"{'Python': 10, 'C': 9, 'TypeScript': 6}","['printf', 'advent-of-code-2021', '42-school', 'advent-of-code-2020', 'adventofcode2021', 'gnl', '42school', 'raytracer', 'interview-practice', 'minishell']"
gurveeer,"Web Frontend (Lv2. 강한 의심 / 45점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 10.0점)",60,"{'JavaScript': 18, 'TypeScript': 8, 'Python': 8}","['github-config', 'electronjs', 'javascript', 'mysql', 'vitejs', 'authentication', 'console-log', 'ecommerce-website', 'sequelize', 'cors']"
amankharwal,Data Scientist (Lv1. 의심 / 6.5점),38,"{'Jupyter Notebook': 19, 'Python': 7}","['python', 'google', 'data-analysis']"
CauanDZN,"Web Backend (Lv2. 강한 의심 / 37.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv2. 강한 의심 / 25.0점)",100,"{'Python': 50, 'JavaScript': 12, 'TypeScript': 3}","['github-config', 'github-secrets', 'linux', 'laravel', 'jpa-hibernate', 'dockerfile', 'lazydocker', 'springboot', 'docker-compose', 'github-actions']"
