github_id,target_role,total_repos,top_languages,topics
D-Gaspa,Web Frontend (Lv1. 의심 / 6점),21,"{'Python': 5, 'JavaScript': 3, 'TypeScript': 2}",[]
gabrieltsants,Web Frontend (Lv1. 의심 / 7점),17,"{'JavaScript': 4, 'TypeScript': 3, 'PHP': 3}",[]
Benny0323,X (추론 안됨),26,"{'Python': 7, 'JavaScript': 3, 'HTML': 1}",[]
OffcierCia,X (추론 안됨),11,{'JavaScript': 1},"['awesome', 'geoint', 'opsec', 'mindmap', 'cryptocurrency', 'security', 'audit', 'investigation', 'awsome-lists', 'awesome-list']"
sabber-slt,"Web Backend (Lv1. 의심 / 11.5점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 9점)",17,"{'TypeScript': 6, 'Python': 3, 'JavaScript': 2}","['chakra-ui', 'youtube-api', 'twitter', 'gemma2', 'api', 'selenium', 'image-generation', 'markdown', 'chatbot', 'python']"
Moli-X,Web Frontend (Lv1. 의심 / 11점),15,"{'JavaScript': 10, 'HTML': 1, 'Stylus': 1}","['config', 'quantumultx']"
fenrir2608,Web Frontend (Lv1. 의심 / 10점),14,"{'JavaScript': 6, 'TypeScript': 4, 'Markdown': 1}",['chrome-extension']
X-itachi-X,Web Frontend (Lv1. 의심 / 6점),16,"{'TypeScript': 5, 'Java': 3, 'Go': 1}",[]
lsecqt,X (추론 안됨),18,"{'C#': 4, 'PowerShell': 3, 'C': 3}","['config', 'github-config']"
TechHutTV,X (추론 안됨),18,"{'Shell': 3, 'HTML': 3, 'Python': 3}","['open-source', 'self-hosting', 'linux', 'homelab', 'theme']"
shivsinghin,Web Frontend (Lv1. 의심 / 12점),17,"{'Python': 5, 'TypeScript': 4, 'JavaScript': 4}",[]
ahr-i,"DevOps/SRE (Lv2. 강한 의심 / 51점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 42.0점)",37,"{'Go': 10, 'Java': 6, 'Python': 4}","['redis', 'html-css-javascript', 'nft', 'csharp', 'distributed-systems', 'unity', 'aes', 'ai', 'python', 'fuse']"
vishalkrishna8,Web Frontend (Lv2. 강한 의심 / 30점),49,"{'CSS': 16, 'JavaScript': 10, 'HTML': 4}",[]
kefimochi,Web Frontend (Lv1. 의심 / 7점),13,"{'JavaScript': 4, 'HTML': 2, 'Java': 2}",[]
alimahdibahrami,X (추론 안됨),11,"{'Python': 3, 'JavaScript': 1, 'C#': 1}",[]
mochen862,X (추론 안됨),28,"{'Jupyter Notebook': 10, 'Cypher': 1}",[]
Aylur,Web Frontend (Lv2. 강한 의심 / 20점),27,"{'TypeScript': 17, 'Vala': 2, 'JavaScript': 2}","['wayland', 'linux-desktop', 'gtk-layer-shell', 'linux', 'gjs', 'jsx', 'layer-shell', 'gnome-shell-extension', 'gnim', 'gtk4']"
lunaperegrina,"Web Frontend (Lv2. 강한 의심 / 23점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 12점)",32,"{'TypeScript': 11, 'JavaScript': 6, 'Astro': 2}","['javascript', 'readme', 'api', 'github', 'bluesky', 'nextjs', 'nodejs', 'sequelize', 'puppeteer', 'sharp']"
Rodrigo-Sarmento,"Web Backend (Lv2. 강한 의심 / 17.5점)
 🕵️ 부캐 스캔: Mobile App (Lv2. 강한 의심 / 17점)",38,"{'Java': 17, 'Kotlin': 5, 'HTML': 5}","['diabetes', 'kotlin-android', 'kotlin', 'java', 'firebase', 'combustivel', 'android', 'imc-calculator']"
enka1504,Web Frontend (Lv2. 강한 의심 / 17점),39,"{'JavaScript': 11, 'Liquid': 8, 'HTML': 3}","['config', 'github-config']"
dirumahrafif,Web Frontend (Lv2. 강한 의심 / 23점),53,"{'PHP': 17, 'JavaScript': 11, 'HTML': 8}","['config', 'github-config']"
teplostanski,Web Frontend (Lv2. 강한 의심 / 27점),31,"{'TypeScript': 13, 'HTML': 5, 'JavaScript': 3}","['github-config', 'vite-plugin', 'single-div', 'network', 'npm-cli', 'nopasswd', 'sudo', 'golang', 'purecss', 'tui']"
noob-hackers,Mobile App (Lv1. 의심 / 6점),19,"{'Shell': 10, 'HTML': 4, 'Python': 3}","['termux-proot', 'phishing-kit', 'noobhackersyt', 'saycheese', 'android', 'noob-hackers', 'noobhacking', 'noob-friendly', '2020', 'grabcam']"
ZygimantasB,"Web Backend (Lv1. 의심 / 7.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 7.0점)",32,"{'Python': 14, 'Jupyter Notebook': 13, 'Shell': 1}",[]
WV-Wesley-Victor,"Web Frontend (Lv3. 확신 / 136점)
 🕵️ 부캐 스캔: Mobile App (Lv1. 의심 / 9점)",36,"{'HTML': 27, 'CSS': 4, 'JavaScript': 3}","['cor', 'bootstrap', 'javascript', 'photography', 'webdeveloper', 'front', 'card', 'readme-profile', 'windows-forms', 'desktop']"
Vanshikagarg17,Web Backend (Lv1. 의심 / 7.0점),44,"{'Python': 8, 'Jupyter Notebook': 3, 'Java': 3}",[]
MrF3ri,Web Frontend (Lv2. 강한 의심 / 26점),17,"{'JavaScript': 5, 'Python': 4, 'Shell': 2}","['github-config', 'googletrans', 'javascript', 'login-form', 'api', 'html5', 'flogger', 'instagram', 'instagram-hacking-tool', 'loacalstorage']"
HoanghoDev,Web Frontend (Lv3. 확신 / 99점),100,"{'CSS': 45, 'HTML': 37, 'JavaScript': 17}",[]
MariyamSiddiqui,ML/AI Engineer (Lv1. 의심 / 13.0점),20,"{'Jupyter Notebook': 15, 'Python': 2, 'TSQL': 1}","['gpt-4', 'github-config', 'transformer', 'pytesseract', 'ultralytics', 'lemmatisation', 'yolov8', 'activation-sparsification', 'fine-tuning', 'tensorflow']"
itsparsh10,"Web Frontend (Lv2. 강한 의심 / 20점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 11점)",57,"{'Python': 11, 'C++': 10, 'HTML': 7}",[]
nishant-Tiwari24,"Web Frontend (Lv2. 강한 의심 / 44점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 8점)",77,"{'JavaScript': 20, 'TypeScript': 20, 'Python': 10}","['github-config', 'html-css-javascript', 'config', 'data-structures-oops', 'python-library', 'python', 'ui-design']"
samettek,Web Frontend (Lv1. 의심 / 6점),33,"{'JavaScript': 4, 'HTML': 2, 'Vue': 1}","['webpage', 'blockchain', 'test']"
avinash201199,Web Frontend (Lv2. 강한 의심 / 30점),77,"{'HTML': 9, 'TypeScript': 8, 'JavaScript': 5}","['to-do-list', 'javascript', 'html-css-javascript', 'open-source', 'courses', 'sde-sheet', 'hacktoberfest-accepted', 'ai', 'github', 'ai-agents']"
TryGOTry,Web Backend (Lv2. 강한 의심 / 21.5점),64,"{'Go': 21, 'Python': 1}","['debug', 'golang', 'catcs', 'cobaltstrike', 'nps', 'dogcs', 'dogxss', 'c2', 'geacon', 'ezxss']"
Kiyarash17,Web Frontend (Lv1. 의심 / 10점),12,"{'TypeScript': 6, 'CSS': 3, 'JavaScript': 1}",[]
TarikKaanKoc,"Data Scientist (Lv2. 강한 의심 / 24.5점)
 🕵️ 부캐 스캔: Mobile App (Lv2. 강한 의심 / 20점)",52,"{'Python': 19, 'Jupyter Notebook': 12, 'Java': 6}","['rfm-analysis', 'psql-database', 'sorting', 'crm', 'sklearn', 'cltv', 'assembly', 'jupyter-notebook', 'emu8086', 'android']"
Ramyromel,Web Frontend (Lv2. 강한 의심 / 44점),66,"{'TypeScript': 34, 'MDX': 6, 'JavaScript': 6}",[]
zerodytrash,"Web Backend (Lv2. 강한 의심 / 17.0점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 9점)",18,"{'JavaScript': 6, 'Python': 2, 'HTML': 2}","['javascript', 'youtube-live', 'chat', 'livestream', 'package', 'api', 'tiktok-live', 'scraper', 'tiktok', 'google']"
khanmhmdi,"ML/AI Engineer (Lv2. 강한 의심 / 18.0점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 6.0점)",78,"{'Jupyter Notebook': 22, 'Python': 12, 'HTML': 1}","['gat', 'log-scale', 'convulational', 'integral-calculation', 'sympy', 'taylor-series', 'autoencoder', 'pytorch', 'graph-attention-network', 'cifar10']"
davidrakosi,Web Frontend (Lv2. 강한 의심 / 30점),62,"{'JavaScript': 26, 'HTML': 2, 'CSS': 2}",[]
gavanwp,Web Frontend (Lv1. 의심 / 11점),23,"{'HTML': 5, 'Python': 4, 'JavaScript': 3}","['github-config', 'css3', 'config', 'assignment', 'html5']"
Fcakiroglu16,"Game Dev (Lv2. 강한 의심 / 44점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 7점)",64,"{'C#': 44, 'JavaScript': 3, 'TypeScript': 3}",[]
Timothyxxx,X (추론 안됨),69,"{'Python': 9, 'HTML': 3, 'Shell': 2}","['chain-of-thought', 'palm', 'large-language-models', 'codex', 'prompt-learning', 'in-context-learning', 'gpt-3']"
cinnamon-msft,Web Frontend (Lv1. 의심 / 8점),26,"{'TypeScript': 5, 'C#': 5, 'JavaScript': 2}",[]
KianEbtekari0,Web Frontend (Lv1. 의심 / 10점),13,"{'JavaScript': 5, 'CSS': 3, 'TypeScript': 2}","['hex', 'github-config', 'nextjs', 'nextjs16', 'rgb', 'config', 'burger', 'color', 'store']"
Marcos9868,"Web Frontend (Lv2. 강한 의심 / 55점)
 🕵️ 부캐 스캔: Game Dev (Lv2. 강한 의심 / 20점)",100,"{'TypeScript': 24, 'C#': 20, 'JavaScript': 17}",[]
campusx-official,"Web Backend (Lv2. 강한 의심 / 24.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv2. 강한 의심 / 24.0점)",100,"{'Python': 48, 'Jupyter Notebook': 24, 'CSS': 5}",[]
AbdullohRazzoqov,"Mobile App (Lv2. 강한 의심 / 24점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 14점)",40,"{'Dart': 24, 'C++': 14}","['config', 'github-config']"
Ayushparikh-code,"Web Frontend (Lv1. 의심 / 10점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 7.5점)",100,"{'Python': 11, 'JavaScript': 5, 'HTML': 4}","['github-config', 'javascript', 'projects-list', 'webdevelopmentprojects', 'html-css-javascript', 'webdeveloper', 'hacktoberfest2024', 'webdevprojects', 'hacktoberfest-accepted', 'config']"
Abishek0612,Web Frontend (Lv2. 강한 의심 / 64점),86,"{'JavaScript': 47, 'TypeScript': 15, 'Python': 1}",[]
JerryYin777,"ML/AI Engineer (Lv1. 의심 / 11.0점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 9.0점)",49,"{'Python': 16, 'Jupyter Notebook': 2, 'CSS': 1}","['llm-inference', 'llm', 'mlsys', 'llm-training', 'machine-learning-systems']"
PassionFriend,Web Frontend (Lv2. 강한 의심 / 16점),47,"{'JavaScript': 9, 'Python': 5, 'TypeScript': 3}",[]
khemssharma,"Web Frontend (Lv2. 강한 의심 / 24점)
 🕵️ 부캐 스캔: Mobile App (Lv1. 의심 / 6점)",14,"{'JavaScript': 7, 'Python': 2, 'HTML': 1}","['javascript', 'animations', 'erp-application', 'javascriptmastery', 'html5', 'android', 'website', 'erp-financial-analytics', 'mern-project', 'erp-devops-pipeline']"
cvs0,"Web Frontend (Lv2. 강한 의심 / 22점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 17.5점)",73,"{'Java': 15, 'C++': 13, 'TypeScript': 13}","['scripthookrdr2', 'javascript', 'opsec', 'open-source', 'commit', 'development', 'interpreter', 'security', 'password-manager', 'cvscode']"
Many-Al,Mobile App (Lv1. 의심 / 15점),19,"{'Kotlin': 9, 'Swift': 6, 'HTML': 1}",[]
branGitfox,Web Frontend (Lv2. 강한 의심 / 31점),33,"{'JavaScript': 8, 'TypeScript': 7, 'PHP': 4}","['github-config', 'bootstrap', 'ajax', 'education', 'laravel', 'mobile-development', 'php-framework', 'full-stack-web-development', 'procrastination', 'food-delivery-application']"
rikusato0,Web Frontend (Lv1. 의심 / 11점),19,"{'JavaScript': 9, 'Python': 5, 'Dart': 2}",[]
MagMueller,X (추론 안됨),35,"{'Jupyter Notebook': 8, 'Python': 7, 'TypeScript': 3}",[]
hrosicka,"Web Backend (Lv2. 강한 의심 / 50.0점)
 🕵️ 부캐 스캔: Data Scientist (Lv2. 강한 의심 / 34.0점)",61,"{'Python': 38, 'C': 5, 'CSS': 3}","['tictactoegame', 'vocabulary-challenge', 'design', 'python-turtle', 'javascript', 'python-turtle-art', 'determinant-calculation', 'python-turtle-graphics', 'python-games', 'bootstrap']"
cool-team-official,"Web Frontend (Lv2. 강한 의심 / 45점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 7.5점)",52,"{'TypeScript': 10, 'Vue': 9, 'JavaScript': 8}","['redis', 'typeorm', 'unicloud', 'midway', 'i18n', 'koa2', 'element-plus', 'pinia', 'micropython', 'vue3']"
tuomaskivioja,"Web Frontend (Lv2. 강한 의심 / 17점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 12.5점)",44,"{'Python': 25, 'JavaScript': 13, 'CSS': 3}",[]
lazherbtra07,Web Frontend (Lv2. 강한 의심 / 63점),76,"{'TypeScript': 18, 'JavaScript': 18, 'CSS': 17}",[]
TiffinTech,"Web Backend (Lv1. 의심 / 6.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 6.0점)",19,"{'Python': 12, 'JavaScript': 4, 'HTML': 1}",[]
huyinit,Web Frontend (Lv1. 의심 / 7점),73,"{'Jupyter Notebook': 24, 'Python': 6, 'JavaScript': 3}","['megadrive', 'googledrive', 'keras-iot-esp32cam-flask-reactjs']"
codeperfectplus,"ML/AI Engineer (Lv3. 확신 / 86.5점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 48.5점)",82,"{'Python': 35, 'Jupyter Notebook': 11, 'HTML': 6}","['github-actions-docker', 'pytorch', 'minecraft', 'object-detection', 'geolocation', 'resume-website', 'comptetive-programming', 'feature-selection', 'daily-coding-problem', '30daysofcode']"
Pawandeep-prog,"Web Backend (Lv2. 강한 의심 / 33.5점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv2. 강한 의심 / 24.5점)",86,"{'Python': 43, 'Jupyter Notebook': 8, 'HTML': 8}","['mediapipe', 'one-click-densepose', 'llama', 'prediciotn', 'learning', 'nnfs', 'iplwebapp', 'ml', 'chatbot', 'vision']"
BoyYangzai,Web Frontend (Lv2. 강한 의심 / 50점),57,"{'TypeScript': 31, 'JavaScript': 6, 'Go': 4}","['umijs', 'cli', 'umi', 'eslint', 'mini-umi', 'prettier', 'typescript', 'react', 'vue', 'nodejs']"
catherineisonline,"Web Frontend (Lv3. 확신 / 172점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 21점)",31,"{'JavaScript': 14, 'CSS': 9, 'TypeScript': 3}","['github-config', 'react-redux', 'javascript', 'open-to-collaborate', 'frontend-mentor-challenges', 'recipe-website', 'ada-lovelace', 'pop-up-on-click', 'open-to-contribution', 'pizza-restaurant']"
Geek-Cheth,Web Frontend (Lv2. 강한 의심 / 16점),30,"{'JavaScript': 7, 'Python': 4, 'HTML': 4}",[]
adysec,"Systems/Embedded (Lv1. 의심 / 13점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 7.5점)",30,"{'Rust': 13, 'Python': 3, 'TypeScript': 3}","['bootstrap', 'github-config', 'trackerlist', 'javascript', 'docx', 'alexa', 'bench', 'dnslogger', 'dnsmasq', 'top-1m']"
shahriarsajeeb,Web Frontend (Lv2. 강한 의심 / 22점),23,"{'TypeScript': 15, 'JavaScript': 7}",[]
marksantiago290,"Web Frontend (Lv3. 확신 / 121점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 17.5점)",100,"{'TypeScript': 36, 'JavaScript': 26, 'Python': 5}","['nextui', 'javascript', 'nft', 'base', 'ai-agents', 'typescri', 'anchor-lang', 'strapi', 'presale-smart-contract', 'reactquery']"
morganm94,"Web Frontend (Lv2. 강한 의심 / 70점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv2. 강한 의심 / 18.0점)",41,"{'JavaScript': 8, 'Python': 6, 'Svelte': 3}","['bootstrap', 'javascript', 'pytorch', 'svelte', 'object-detection', 'ultralytics', 'knn', 'jupyter', 'tailwindcss', 'numpy']"
burakorkmez,Web Frontend (Lv2. 강한 의심 / 59점),61,"{'JavaScript': 31, 'TypeScript': 25, 'CSS': 2}",[]
WebdevShefali,Web Frontend (Lv2. 강한 의심 / 44점),55,"{'JavaScript': 25, 'HTML': 12, 'CSS': 6}","['freeresources', 'resources', 'webdev', 'free', 'webdevelopment']"
zackradisic,"Web Frontend (Lv2. 강한 의심 / 25점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv2. 강한 의심 / 19점)",80,"{'TypeScript': 15, 'Rust': 11, 'JavaScript': 8}","['soundcloud', 'soundcloud-music-downloader', 'clipboard-manager', 'color-picker', 'macos-app', 'lofi', 'audio', 'soundcloud-stream', 'livestream', 'soundcloud-downloader']"
crazymanarmy,X (추론 안됨),13,{'HTML': 3},[]
LisaHJung,Web Frontend (Lv1. 의심 / 15점),100,"{'Ruby': 55, 'JavaScript': 13, 'HTML': 2}",[]
0xngmi,"Web Frontend (Lv1. 의심 / 15점)
 🕵️ 부캐 스캔: Web3/Blockchain (Lv1. 의심 / 7점)",43,"{'JavaScript': 8, 'Solidity': 7, 'TypeScript': 4}",[]
Seif-01,Systems/Embedded (Lv1. 의심 / 6점),27,"{'C': 6, 'Python': 3, 'TypeScript': 2}",[]
5c0,X (추론 안됨),11,"{'TypeScript': 3, 'Rust': 2, 'PowerShell': 1}","['systems-programming', 'blockchain-infrastructure', 'ratatui', 'tui', 'rust', 'system-monitor', 'terminal-graphics', 'borsh', 'visualization', 'retro']"
najirh,X (추론 안됨),55,"{'Jupyter Notebook': 9, 'HTML': 2, 'PLpgSQL': 2}","['config', 'github-config']"
halil-yesilyurt,"Web Frontend (Lv2. 강한 의심 / 45점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 9점)",15,"{'JavaScript': 6, 'TypeScript': 4, 'SCSS': 1}","['github-api', 'javascript', 'tech-blog', 'api', 'html5', 'testing', 'oop', 'nextjs', 'firestore', 'oauth']"
oluiscabral,"Web Frontend (Lv1. 의심 / 12점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 8.0점)",39,"{'Python': 8, 'JavaScript': 5, 'Java': 4}","['educational', 'privacy', 'testing-tools', 'education', 'security', 'exam', 'learning', 'ai', 'python-3', 'study']"
Pragyanurag,Web Frontend (Lv2. 강한 의심 / 45점),53,"{'HTML': 31, 'JavaScript': 13, 'Python': 3}",[]
aiko-chan-ai,"Web Frontend (Lv2. 강한 의심 / 20점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 11.5점)",51,"{'JavaScript': 10, 'TypeScript': 9, 'Python': 7}","['javascript', 'discord-bot', 'selfbot-for-discord', 'npm', 'markdown', 'discord-rpc', 'discord-api', 'discordjs', 'npm-package', 'discord-selfbot']"
bastndev,"Mobile App (Lv2. 강한 의심 / 67점)
 🕵️ 부캐 스캔: Web Frontend (Lv2. 강한 의심 / 61점)",100,"{'CSS': 18, 'HTML': 17, 'Dart': 16}","['supbase', 'github-config', 'andorid', 'dark-theme', 'package', 'kiro-theme', 'vscode', 'atm-extension', 'qr', 'tools-mobile']"
ProfessorMB21,"Game Dev (Lv1. 의심 / 9점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 8점)",44,"{'C#': 9, 'Kotlin': 6, 'C++': 6}","['devops', 'dotnet', 'visual-basic', 'data-structures', 'bash', 'c', 'shell', 'network-programming', 'python', 'windows']"
eversinc33,"Systems/Embedded (Lv1. 의심 / 15점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 10.5점)",73,"{'Python': 11, 'C++': 10, 'C#': 8}","['nim', 'syscalls', 'advent-of-code-2021', 'mongodb-injection', 'enumeration', 'monero', 'cryptocurrency', 'monero-rpc', 'security', 'recycledgate']"
ishikkkkaaaa,"Web Frontend (Lv2. 강한 의심 / 29점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 6점)",68,"{'HTML': 14, 'JavaScript': 10, 'Jupyter Notebook': 9}","['os', 'sql', 'java', 'daa', 'codes', 'dcn', 'ml', 'computer-graphics', 'pattern', 'cg']"
ihmily,"Web Backend (Lv2. 강한 의심 / 28.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 9.0점)",27,"{'Python': 18, 'JavaScript': 2, 'Shell': 1}","['kuwo-music', 'weibo-live', 'video-downloader', 'pandatv', 'ipinfo', 'comfyui', 'kuake', 'quark', 'shadowsocks', 'tkinter-gui']"
Rolemodel01291,"Web Frontend (Lv3. 확신 / 136점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 31.0점)",88,"{'JavaScript': 25, 'CSS': 5, 'TypeScript': 4}","['bootstrap', 'redux-saga', 'javascript', 'grunt', 'qrcode', 'redux-toolkit', 'laravel', 'api', 'reduxform', 'selenium']"
HannerB,Web Frontend (Lv2. 강한 의심 / 20점),37,"{'PHP': 12, 'HTML': 8, 'JavaScript': 7}",[]
cedev935,"Web Frontend (Lv2. 강한 의심 / 41점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 12.0점)",100,"{'JavaScript': 20, 'Python': 12, 'TypeScript': 10}","['bootstrap', 'rswag-specs', 'webpack', 'react-icons', 'ruby-on', 'open-source', 'reportlab', 'redux-toolkit', 'reportlab-pdf', 'java-projects']"
DavidHDev,Web Frontend (Lv2. 강한 의심 / 57점),13,"{'JavaScript': 4, 'TypeScript': 2, 'Vue': 1}","['javascript', 'react-components', 'css-animations', 'animations', 'vuejs-components', 'next', 'utilities', 'components', 'ui-components', 'vuejs3']"
CarlBugeja,X (추론 안됨),14,"{'C++': 3, 'SWIG': 2, 'C': 1}",[]
The-Young-Programmer,Web Frontend (Lv1. 의심 / 13점),20,"{'JavaScript': 5, 'Python': 4, 'C++': 2}","['firebase-realtime-database', 'javascript', 'math', 'github-pages', 'javascriptprojects', 'readme-profile', 'hangman-game', 'mechatronics', 'typ-nemonet', 'quiz-game']"
LucioFex,"Web Backend (Lv1. 의심 / 13.5점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 9점)",42,"{'Python': 7, 'TypeScript': 5, 'JavaScript': 2}","['webcampus', 'javascript', 'easy', 'studies', 'ucema', 'family-birthdays', 'api', 'darksouls', 'birthday-reminder', 'photo-editor']"
l2hyunwoo,"Mobile App (Lv2. 강한 의심 / 38점)
 🕵️ 부캐 스캔: Web Frontend (Lv2. 강한 의심 / 23점)",100,"{'Kotlin': 37, 'TypeScript': 16, 'C++': 3}","['camera', 'cmp', 'kotlin', 'nitro-module', 'aoc-2023-in-kotlin', 'jetpack-compose', 'react-native', 'kmp', 'compose-multiplatform']"
jia-seed,"Web Frontend (Lv2. 강한 의심 / 43점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 6.5점)",93,"{'TypeScript': 24, 'JavaScript': 15, 'Python': 13}",[]
walidbosso,"Web Backend (Lv2. 강한 의심 / 62.5점)
 🕵️ 부캐 스캔: Web Frontend (Lv2. 강한 의심 / 25점)",30,"{'JavaScript': 6, 'Java': 5, 'CSS': 3}","['bootstrap', 'javascript', 'struts2', 'bbo', 'pytorch', 'matlab-editor', 'android', 'navbar', 'resume-website', 'components']"
nekohasekai,Web Backend (Lv1. 의심 / 11점),29,"{'Go': 8, 'Java': 3, 'Swift': 2}",[]
ourongxing,Web Frontend (Lv2. 강한 의심 / 30점),59,"{'TypeScript': 23, 'JavaScript': 5, 'Lua': 2}","['elegant', 'ohmymn', 'mnaddon', 'solidjs', 'pdf', 'marginnote', 'vercel', 'news', 'music', 'chatgpt']"
mssm199996,"Web Backend (Lv3. 확신 / 103.5점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 6점)",38,"{'Java': 28, 'TypeScript': 1, 'CSS': 1}","['class-diagram-generator', 'iot-platform', 'javaee', 'sms-notifications', 'ribbon', 'equation-solver', 'java-8', 'uncryption', 'cascade-classifier', 'cpp']"
johansitoweb,"Web Frontend (Lv1. 의심 / 14점)
 🕵️ 부캐 스캔: DevOps/SRE (Lv1. 의심 / 6점)",100,"{'JavaScript': 8, 'Jupyter Notebook': 5, 'HTML': 3}","['docker', 'bootstrap', 'javascript', 'sass-framework', 'gitub-actions', 'terraform', 'git', 'jquery', 'echo-framework', 'tensorflow']"
jpsantos1,Web Backend (Lv1. 의심 / 14.0점),12,"{'Python': 4, 'C#': 3, 'TypeScript': 2}","['microsoft-certification', 'flask-application', 'harvard', 'django-application', 'django', 'flask', 'csharp', 'edx-cs50', 'cs50', 'django-project']"
monte1s,Web Frontend (Lv2. 강한 의심 / 33점),50,"{'JavaScript': 22, 'TypeScript': 9, 'Solidity': 4}",[]
eooce,"Web Frontend (Lv2. 강한 의심 / 22점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 11.5점)",68,"{'JavaScript': 18, 'Shell': 13, 'Java': 6}","['sing-box', 'shadowsocks', 'loon', 'snippets-proxy', 'argo', 'v2rayng', 'hyeseria', 'v2ray', 'trojan-ws-tls', 'xray']"
radkesvat,X (추론 안됨),13,"{'C': 4, 'Nim': 4, 'MDX': 1}","['fake-uploader', 'reverse-tunnel', 'tls-tunnel', 'encryption', 'tcp', 'tls', 'tunnel', 'mux', 'port-forwarding', 'ssl']"
developergtm24,Web Frontend (Lv2. 강한 의심 / 65점),100,"{'HTML': 36, 'CSS': 24, 'JavaScript': 5}",[]
degatchi,"Systems/Embedded (Lv1. 의심 / 11점)
 🕵️ 부캐 스캔: Web3/Blockchain (Lv1. 의심 / 8점)",100,"{'Rust': 11, 'Solidity': 8, 'JavaScript': 2}","['solmate', 'openzeppelin', 'blockchain', 'frontrunner', 'smart-contracts', 'ethereum', 'dapptools', 'forge', 'defi', 'mev']"
WhiteRabbit130,Web Frontend (Lv1. 의심 / 11점),14,"{'JavaScript': 7, 'CSS': 3, 'PHP': 2}","['config', 'github-config']"
monukumar98,"Web Backend (Lv2. 강한 의심 / 69.5점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 6점)",91,"{'Java': 69, 'HTML': 3, 'JavaScript': 2}",[]
xiaojieonly,"Mobile App (Lv1. 의심 / 11점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 6.5점)",40,"{'Dart': 7, 'Java': 6, 'C': 3}","['comics', 'e-hentai', 'apk', 'java', 'ehviewer', 'screenshot', 'hentai-downloader', 'hentai', 'exhentai', 'cartoon']"
ByungKwanLee,"ML/AI Engineer (Lv2. 강한 의심 / 19.5점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 7.5점)",22,"{'Python': 15, 'JavaScript': 3, 'C++': 2}","['deep-learning', 'pytorch', 'adversarial-attacks']"
HangeZoe,Web Backend (Lv1. 의심 / 14.5점),15,"{'Python': 5, 'HTML': 1, 'JavaScript': 1}","['javascript', 'simple-website', 'readme-profile', 'markdown', 'website', 'study-task', 'lending', 'challenges-solved', 'django', 'html-css']"
DaryllCulas,Web Frontend (Lv2. 강한 의심 / 17점),58,"{'JavaScript': 12, 'PHP': 7, 'HTML': 5}",[]
shouxieai,"ML/AI Engineer (Lv1. 의심 / 14.5점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 11.5점)",59,"{'Python': 23, 'C++': 7, 'Jupyter Notebook': 4}","['github-config', 'tensorrt', 'pytorch', 'yolox', 'config', 'object-detection', 'yolov5', 'deep-learning']"
